CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,Contract,InternetService,PaperlessBilling,PaymentMethod,OnlineSecurity,TechSupport,StreamingService,MonthlyCharges,TotalCharges,Churn
CUST11179,Male,0,Yes,No,48,Month-to-month,No,Yes,Electronic check,No,No,No,30.87,1345.93,No
CUST10866,Male,0,No,Yes,19,Month-to-month,DSL,No,Credit card,Yes,No,Yes,47.31,827.13,No
CUST10102,Female,0,No,No,21,Month-to-month,DSL,No,Electronic check,No,Yes,No,52.2,1187.29,No
CUST10440,Male,0,Yes,No,16,Two year,Fiber optic,Yes,Credit card,No,No,No,58.04,818.51,No
CUST10059,Male,0,No,No,55,One year,Fiber optic,No,Bank transfer,No,Yes,Yes,73.55,4097.45,No
CUST11121,Female,0,Yes,Yes,51,Month-to-month,Fiber optic,No,Bank transfer,Yes,No,Yes,73.44,3737.85,No
CUST10324,Female,0,Yes,No,43,Month-to-month,No,Yes,Bank transfer,No,No,No,33.64,1266.92,No
CUST10975,Female,0,Yes,No,23,One year,Fiber optic,Yes,Electronic check,Yes,No,Yes,64.71,1542.99,No
CUST10412,Female,1,Yes,No,47,Month-to-month,DSL,Yes,Electronic check,No,Yes,No,46.87,2164.71,No
CUST10856,Male,1,Yes,Yes,15,Two year,DSL,Yes,Electronic check,Yes,Yes,No,57.09,758.64,No
CUST10821,Male,0,No,No,7,Month-to-month,DSL,Yes,Mailed check,No,No,No,42.26,329.51,No
CUST10045,Female,0,No,No,59,Two year,Fiber optic,Yes,Mailed check,No,No,Yes,64.55,3802.27,No
CUST10050,Female,0,Yes,No,61,Month-to-month,DSL,Yes,Credit card,Yes,Yes,Yes,58.92,3612.73,No
CUST10850,Female,0,Yes,No,69,Month-to-month,DSL,No,Mailed check,No,Yes,Yes,63.59,4415.63,No
CUST10241,Female,0,No,Yes,6,One year,DSL,Yes,Electronic check,No,No,Yes,53.08,239.95,No
CUST10171,Female,0,No,No,21,One year,Fiber optic,Yes,Mailed check,Yes,Yes,Yes,73.14,1600.13,No
CUST10524,Male,0,No,Yes,60,Month-to-month,No,No,Mailed check,No,No,No,29.11,1721.29,No
CUST10766,Male,0,Yes,No,43,One year,No,Yes,Bank transfer,No,No,No,27.28,1329.82,No
CUST10839,Female,0,No,No,16,Two year,Fiber optic,No,Bank transfer,No,No,Yes,59.45,939.14,No
CUST10424,Male,1,No,Yes,46,Month-to-month,Fiber optic,No,Bank transfer,Yes,No,No,61.44,2813.79,Yes
CUST10381,Female,0,No,Yes,54,Month-to-month,DSL,No,Mailed check,No,No,No,39.87,2144.79,No
CUST10610,Female,1,No,Yes,31,Month-to-month,DSL,No,Bank transfer,Yes,Yes,Yes,70.53,2295.68,No
CUST10677,Female,0,Yes,No,12,Two year,Fiber optic,No,Electronic check,No,Yes,Yes,71.91,1006.31,No
CUST10345,Male,0,Yes,No,68,Month-to-month,DSL,Yes,Electronic check,Yes,Yes,No,56.31,3881.6,No
CUST10110,Male,0,Yes,No,28,Two year,Fiber optic,Yes,Mailed check,Yes,Yes,Yes,71.86,1995.15,No
CUST10278,Female,0,Yes,Yes,35,One year,Fiber optic,No,Mailed check,Yes,No,No,62.49,2278.51,Yes
CUST10678,Female,1,No,Yes,55,Month-to-month,No,Yes,Mailed check,No,No,No,29.66,1561.73,No
CUST10571,Female,0,No,No,58,One year,Fiber optic,Yes,Electronic check,Yes,No,No,66.42,3874.11,No
CUST10359,Male,0,Yes,No,18,One year,No,No,Credit card,No,No,No,36.06,572.02,No
CUST10599,Female,0,Yes,Yes,46,Two year,Fiber optic,No,Credit card,Yes,No,Yes,74.09,3522.84,No
CUST10391,Male,0,No,No,60,Month-to-month,DSL,No,Electronic check,No,No,Yes,43.98,2675.92,Yes
CUST10894,Male,0,No,No,26,Month-to-month,DSL,Yes,Bank transfer,No,No,No,42.57,1185.89,No
CUST10693,Male,0,No,No,59,Month-to-month,DSL,Yes,Credit card,Yes,Yes,Yes,54.42,3208.95,No
CUST10728,Male,0,No,Yes,30,Month-to-month,DSL,Yes,Mailed check,No,No,No,43.73,1245.4,No
CUST10363,Male,0,Yes,No,47,One year,Fiber optic,Yes,Credit card,No,Yes,Yes,69.76,3214.51,No
CUST10597,Male,1,Yes,Yes,61,Two year,Fiber optic,Yes,Bank transfer,Yes,Yes,No,69.95,4317.94,No
CUST10428,Female,1,Yes,Yes,64,Two year,Fiber optic,No,Bank transfer,Yes,Yes,No,70.28,4640.31,No
CUST10071,Female,0,No,Yes,1,One year,Fiber optic,No,Credit card,Yes,Yes,Yes,75.25,184.55,No
CUST10322,Male,0,Yes,No,39,Month-to-month,Fiber optic,Yes,Mailed check,No,Yes,No,60.95,2502.42,No
CUST10653,Male,0,Yes,Yes,39,Two year,DSL,Yes,Electronic check,Yes,Yes,Yes,66.17,2641.0,No
CUST11066,Male,1,No,No,2,Two year,DSL,No,Electronic check,Yes,Yes,No,54.2,158.66,No
CUST10108,Female,0,No,No,19,Month-to-month,Fiber optic,No,Mailed check,No,Yes,Yes,73.79,1513.29,No
